play,yardage,median_deviation,mean_deviation,heuristic,algorithm,speed_coefficient
play134-game2020101106.csv,5.359999999999999,6.863347106692521,6.863347106692521,optimal,pitch_control,optimal
play1341-game2020092700.csv,10.820000000000007,1.5923602328339914,1.5923602328339914,optimal,pitch_control,optimal
play1351-game2020092800.csv,13.759999999999977,35.9686708248714,35.9686708248714,optimal,pitch_control,optimal
play1359-game2021010315.csv,5.460000000000008,2.3703961225453014,2.3703961225453014,optimal,pitch_control,optimal
play136-game2020122709.csv,13.480000000000018,3.7864377865100427,3.7864377865100427,optimal,pitch_control,optimal
play1363-game2020091307.csv,6.5,12.087137791884397,12.087137791884397,optimal,pitch_control,optimal
play1366-game2020092009.csv,0.1599999999999966,5.341224370664257,5.341224370664257,optimal,pitch_control,optimal
play137-game2020091302.csv,15.840000000000003,5.613198731561177,5.613198731561177,optimal,pitch_control,optimal
play1373-game2020122012.csv,0.6700000000000017,28.279341437480237,28.279341437480237,optimal,pitch_control,optimal
play1394-game2020122709.csv,21.390000000000008,5.822439351337204,5.822439351337204,optimal,pitch_control,optimal
play140-game2020092010.csv,4.400000000000006,6.1085022714246415,6.1085022714246415,optimal,pitch_control,optimal
play1406-game2020121309.csv,15.86,13.940078909389285,13.940078909389285,optimal,pitch_control,optimal
play141-game2020101102.csv,8.980000000000004,6.812195762829418,6.812195762829418,optimal,pitch_control,optimal
play1414-game2020112206.csv,0.21999999999999886,28.922230170945323,28.922230170945323,optimal,pitch_control,optimal
play142-game2020122013.csv,10.439999999999998,7.089882831351493,7.089882831351493,optimal,pitch_control,optimal
play1424-game2020112909.csv,14.300000000000011,27.840028735617352,27.840028735617352,optimal,pitch_control,optimal
play1426-game2020110800.csv,12.920000000000002,10.23031280069187,10.23031280069187,optimal,pitch_control,optimal
play1428-game2020101200.csv,36.53,1.7597758695672492,1.7597758695672492,optimal,pitch_control,optimal
play143-game2020111507.csv,29.32,1.0231141187570447,1.0231141187570447,optimal,pitch_control,optimal
play144-game2020092004.csv,0.37000000000000455,5.171392462383803,5.171392462383803,optimal,pitch_control,optimal
play144-game2020102509.csv,11.850000000000009,4.787042696464878,4.787042696464878,optimal,pitch_control,optimal
play1441-game2020112906.csv,5.989999999999995,6.3263654652572825,6.3263654652572825,optimal,pitch_control,optimal
play1450-game2020113000.csv,4.8799999999999955,1.8302398142805638,1.8302398142805638,optimal,pitch_control,optimal
play1458-game2020101100.csv,3.5600000000000023,13.66153277556284,13.66153277556284,optimal,pitch_control,optimal
play1459-game2020121305.csv,6.959999999999994,10.76600101141451,10.76600101141451,optimal,pitch_control,optimal
play1468-game2020122012.csv,11.829999999999998,1.7167121757721826,1.7167121757721826,optimal,pitch_control,optimal
play1473-game2020110106.csv,88.3,2.4539310865991704,2.4539310865991704,optimal,pitch_control,optimal
play1479-game2021010315.csv,3.1200000000000045,11.250208886949611,11.250208886949611,optimal,pitch_control,optimal
play1489-game2020112201.csv,11.51000000000002,24.110178605776305,24.110178605776305,optimal,pitch_control,optimal
play1506-game2020121900.csv,0.75,7.414149385540534,7.414149385540534,optimal,pitch_control,optimal
play151-game2020113000.csv,0.6000000000000085,19.16987741223193,19.16987741223193,optimal,pitch_control,optimal
play1510-game2020091300.csv,18.569999999999993,18.35022379383833,18.35022379383833,optimal,pitch_control,optimal
play153-game2020101900.csv,2.1999999999999886,6.022001328462154,6.022001328462154,optimal,pitch_control,optimal
play1535-game2021010314.csv,28.929999999999993,9.558284364884738,9.558284364884738,optimal,pitch_control,optimal
