,play,yardage,median_deviation,mean_deviation,algorithm
0,play1639-game2020101109.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play174-game2020112908.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1597-game2020091308.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1359-game2021010315.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play142-game2020122013.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play120-game2020112211.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play123-game2020101105.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1473-game2020110106.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1118-game2020101805.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play179-game2021010305.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1174-game2021010308.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1552-game2020122711.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1306-game2020110108.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1643-game2020091400.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play136-game2020122709.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1598-game2020110102.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1744-game2020122003.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play120-game2020122100.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1000-game2020122705.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play123-game2020112601.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1479-game2021010315.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1363-game2020091307.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1798-game2020120702.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1306-game2020120607.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1203-game2020100100.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1121-game2020112202.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1424-game2020112909.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play160-game2020101807.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play123-game2020120600.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1653-game2021010309.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1000-game2021010304.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1748-game2020091311.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1556-game2020091400.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play131-game2020101901.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1489-game2020112201.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1033-game2020092004.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1208-game2021010313.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1607-game2020112210.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1801-game2020112202.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1366-game2020092009.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1125-game2020111501.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play123-game2020122602.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1002-game2020100410.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1310-game2020092706.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1564-game2020112907.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1265-game2020092003.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1426-game2020110800.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play161-game2020112900.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1131-game2021010307.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play121-game2020110806.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1043-game2020092708.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1175-game2020112901.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play137-game2020091302.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1005-game2020092003.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play181-game2020120603.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1612-game2020101813.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1428-game2020101200.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1311-game2020112207.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1663-game2020120604.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1566-game2020110110.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play1135-game2020112211.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play118-game2021010311.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play175-game2021010315.csv,,,,
,play,yardage,median_deviation,mean_deviation,algorithm
0,play121-game2020121310.csv,,,,
