play,yardage,median_deviation,mean_deviation,heuristic,algorithm,speed_coefficient
play2662-game2020091302.csv,17.379999999999995,6.15995471279843,6.149932345162842,optimal,astar_delaunay,optimal
play267-game2020092007.csv,16.929999999999993,9.072915179044303,8.819501960831113,optimal,astar_delaunay,optimal
play268-game2020122013.csv,9.659999999999997,3.7445960322513248,3.9313724646119033,optimal,astar_delaunay,optimal
play2683-game2020120601.csv,9.14,5.879870095019622,6.637527742036607,optimal,astar_delaunay,optimal
play2689-game2020121309.csv,0.5399999999999991,,,optimal,astar_delaunay,optimal
play2699-game2020102500.csv,-0.9699999999999989,7.801276934918488,11.608892875178983,optimal,astar_delaunay,optimal
play270-game2020120603.csv,9.220000000000013,3.466683641416502,6.868076526897214,optimal,astar_delaunay,optimal
play2703-game2020092711.csv,1.7700000000000102,4.373989170587928,5.248181061319857,optimal,astar_delaunay,optimal
play2706-game2020112906.csv,8.799999999999997,4.286324051144297,5.262381696018262,optimal,astar_delaunay,optimal
play2711-game2020110105.csv,-0.2599999999999909,8.394953046763375,8.394953046763375,optimal,astar_delaunay,optimal
play2712-game2020122709.csv,8.870000000000005,3.934090200114225,5.553057569358064,optimal,astar_delaunay,optimal
play2713-game2020091401.csv,-1.3499999999999943,12.428163263302908,12.447841503962465,optimal,astar_delaunay,optimal
play2713-game2020112907.csv,7.280000000000001,7.71058725960581,8.409577270394092,optimal,astar_delaunay,optimal
play2725-game2020092010.csv,1.950000000000017,3.7573236862101123,4.898744899629084,optimal,astar_delaunay,optimal
play2726-game2020120602.csv,34.65,8.313358006898438,8.421423184523226,optimal,astar_delaunay,optimal
play2728-game2020122009.csv,6.299999999999997,10.001397269232593,14.1092267478188,optimal,astar_delaunay,optimal
play2734-game2020112206.csv,4.3700000000000045,13.864771833424554,16.088887854955896,optimal,astar_delaunay,optimal
play2736-game2020110802.csv,3.5600000000000023,12.636670552467846,12.803965602546247,optimal,astar_delaunay,optimal
play2737-game2020120603.csv,-0.9200000000000301,5.130147345203589,5.578799741126005,optimal,astar_delaunay,optimal
play2739-game2020111505.csv,-2.030000000000001,9.13920163092952,8.462337735225978,optimal,astar_delaunay,optimal
play2740-game2020110109.csv,7.3700000000000045,6.912259801773554,7.534423696682338,optimal,astar_delaunay,optimal
play2743-game2020121900.csv,4.77000000000001,5.464875146116787,5.90084478058468,optimal,astar_delaunay,optimal
play2753-game2020112300.csv,-0.25,11.720150654235066,11.235180126057507,optimal,astar_delaunay,optimal
play2754-game2020091311.csv,0.030000000000001137,,,optimal,astar_delaunay,optimal
play2757-game2020101812.csv,,,,optimal,astar_delaunay,optimal
play2757-game2020102503.csv,13.33999999999999,4.158044307898641,4.609236458998952,optimal,astar_delaunay,optimal
play2761-game2020101811.csv,8.710000000000008,22.193635429469154,20.165311892407846,optimal,astar_delaunay,optimal
